Year,Wages,House_Price,CPI_All,CPI_Food,CPI_Housing,CPI_Transport,CPI_Education,Real_Wages,Real_House_Price,House_Price_to_Wage_Ratio,Real_House_Price_to_Real_Wage_Ratio,Housing_Inflation,Food_Inflation,Transport_Inflation,Education_Inflation,Overall_Inflation,Cost_Pressure_Indicator,Wage_Index,House_Price_Index,Real_Wage_Index,Real_House_Price_Index,CPI_All_Index,CPI_Food_Index,CPI_Housing_Index,CPI_Transport_Index,CPI_Education_Index,Rent_Price,Real_Rent_Price,Rent_Price_to_Wage_Ratio,Real_Rent_Price_to_Real_Wage_Ratio,Rent_Price_Index
2015,527.1,182291.17,100.0,100.0,100.0,100.0,100.0,527.1,182291.17,345.84,345.84,0.5,-2.63,-2.15,8.46,0.0,1.05,100.0,100.0,112.06,184.59,140.45,150.83,189.75,156.25,366.3,925.0,925.0,1.75,1.75,100.0
2016,538.6,195035.42,100.7,97.6,100.2,100.5,104.7,534.86,193679.66,362.12,362.12,0.2,-2.4,0.5,4.7,0.7,0.75,102.18,106.99,113.71,196.12,141.43,147.21,190.13,157.03,383.52,955.83,949.19,1.77,1.77,103.33
2017,550.0,203950.33,103.4,99.8,102.0,105.1,108.7,531.91,197244.04,370.82,370.82,1.8,2.25,4.58,3.82,2.68,3.11,104.34,111.88,113.09,199.73,145.22,150.53,193.55,164.22,398.17,979.25,947.05,1.78,1.78,105.86
2018,568.3,210354.0,105.9,101.8,104.4,109.8,111.8,536.64,198634.56,370.15,370.15,2.35,2.0,4.47,2.85,2.42,2.92,107.82,115.39,114.09,201.14,148.74,153.54,198.1,171.56,409.52,988.25,933.19,1.74,1.74,106.84
2019,585.2,212433.75,107.8,103.2,106.2,112.0,115.2,542.86,197062.85,363.01,363.01,1.72,1.38,2.0,3.04,1.79,2.04,111.02,116.54,115.41,199.55,151.4,155.66,201.52,175.0,421.98,1006.75,933.91,1.72,1.72,108.84
2020,585.7,218521.5,108.7,103.9,105.8,112.4,118.2,538.82,201031.74,373.09,373.09,-0.38,0.68,0.36,2.6,0.83,0.82,111.12,119.87,114.55,203.57,152.67,156.71,200.76,175.62,432.97,1024.75,942.73,1.75,1.75,110.78
2021,610.7,236312.5,111.6,104.2,108.3,120.4,121.5,547.22,211749.55,386.95,386.95,2.36,0.29,7.12,2.79,2.67,3.14,115.86,129.63,116.34,214.42,156.74,157.16,205.5,188.12,445.05,1038.92,930.93,1.7,1.7,112.32
2022,641.8,258236.17,121.7,115.5,128.3,134.2,126.5,527.36,212190.77,402.36,402.36,18.47,10.84,11.46,4.12,9.05,11.22,121.76,141.66,112.12,214.87,170.93,174.21,243.45,209.69,463.37,1083.58,890.37,1.69,1.69,117.14
2023,687.0,258956.17,130.5,132.3,140.7,134.5,131.0,526.44,198433.84,376.94,376.94,9.66,14.55,0.22,3.56,7.23,7.0,130.34,142.06,111.92,200.94,183.29,199.55,266.98,210.16,479.85,1163.75,891.76,1.69,1.69,125.81
2024,728.3,260532.25,133.9,135.8,138.8,134.2,137.1,543.91,194572.26,357.73,357.73,-1.35,2.65,-0.22,4.66,2.61,1.43,138.17,142.92,115.64,197.03,188.06,204.83,263.38,209.69,502.2,1265.0,944.73,1.74,1.74,136.76
2025,766.6,268191.25,138.4,141.5,146.4,137.7,147.4,553.9,193779.8,349.85,349.85,5.48,4.2,2.61,7.51,3.36,4.95,145.44,147.12,117.76,196.22,194.38,213.42,277.8,215.16,539.93,1344.75,971.64,1.75,1.75,145.38
